Season,TeamName,eFGPct_Off,RankeFGPct_Off,TOPct_Off,RankTOPct_Off,ORPct_Off,RankORPct_Off,FTRate_Off,RankFTRate_Off
2023,Abilene Christian,49.20948617,243,17.34151329,118,25.5387931,269,32.27931489,140
2023,Air Force,54.18704156,28,18.97770363,242,22.28033473,341,31.23471883,186
2023,Akron,51.85289163,100,16.57838002,68,29.80952381,141,33.63279057,105
2023,Alabama,52.11754538,88,18.6730977,227,34.204947,24,36.64649957,47
2023,Alabama A&M,48.55457227,278,21.41418927,342,29.52565344,150,35.81120944,58
2023,Alabama St.,42.31644849,363,18.89112521,238,31.78294574,73,31.2464428,185
2023,Albany,47.34917733,317,19.17564997,253,27.7992278,208,31.01767215,194
2023,Alcorn St.,45.23554604,348,18.29552032,199,33.71378402,30,35.27837259,67
2023,American,54.41717791,23,22.02137007,349,28.30601093,191,27.91411043,291
2023,Appalachian St.,48.71481028,270,16.31227851,59,24.50980392,303,29.25336597,248
2023,Arizona,56.49131274,3,18.38240709,209,30.7161346,107,35.81081081,59
2023,Arizona St.,48.40499307,288,16.80580238,81,29.17282127,160,31.20665742,188
2023,Arkansas,50.92098885,160,18.0526404,168,30.72487644,106,39.26320892,23
2023,Arkansas Pine Bluff,45.16447368,350,21.5776718,344,26.64640324,235,33.81578947,100
2023,Arkansas St.,47.60423149,306,18.14293375,180,28.79377432,175,35.09645302,69
2023,Army,53.80116959,34,19.08666761,246,25.39349423,273,31.34502924,183
2023,Auburn,49.49773983,225,17.67106843,142,32.8358209,49,36.31341035,51
2023,Austin Peay,46.29164048,335,17.44649247,122,25.97402597,254,26.14707731,331
2023,BYU,51.52162306,118,20.19678637,309,31.69398907,76,32.46129204,133
2023,Ball St.,53.00120048,54,17.80924402,150,30.52837573,114,42.25690276,8
2023,Baylor,53.21921308,48,17.85704635,152,34.41901408,22,36.79100664,46
2023,Bellarmine,51.74418605,104,18.23382904,191,20.56179775,352,25.3875969,339
2023,Belmont,55.31741725,12,16.77362556,77,25.390625,274,24.30819316,348
2023,Bethune Cookman,46.59025788,329,18.26158291,195,26.89844465,232,32.14899713,151
2023,Binghamton,49.54351795,223,19.4128999,265,28.73326468,176,28.24102252,282
2023,Boise St.,51.64981373,113,16.64302176,71,27.17291857,225,30.33528473,215
2023,Boston College,48.71931697,269,18.215737,188,27.62923351,212,27.32123799,311
2023,Boston University,46.96117051,325,17.87768722,156,28.72531418,178,29.037704,259
2023,Bowling Green,50.45897877,187,17.54800555,133,29.79942693,143,32.47274814,130
2023,Bradley,52.7173913,63,17.87490899,155,29.22535211,159,26.86335404,321
2023,Brown,50.73859987,172,19.04485565,244,25.31512605,277,29.80089917,229
2023,Bryant,51.88622754,98,18.7404315,231,29.00608519,162,32.81437126,126
2023,Bucknell,51.34008338,131,20.18197658,308,25.40816327,272,26.86122692,322
2023,Buffalo,49.54276493,224,19.22122456,256,32.16845878,64,31.95266272,159
2023,Butler,49.49066214,228,17.61367267,138,19.9807877,354,25.9196378,334
2023,Cal Baptist,49.02467011,255,18.05582666,170,28.94499549,166,31.55479059,169
2023,Cal Poly,45.73474471,343,20.85130414,327,24.48579824,305,30.94645081,197
2023,Cal St. Bakersfield,44.57246816,356,19.90660942,296,27.48538012,217,29.41176471,241
2023,Cal St. Fullerton,49.43586698,229,17.44558738,121,25.92242195,258,38.71733967,29
2023,Cal St. Northridge,44.10288582,358,19.61294912,281,27.31614136,223,36.63739021,48
2023,California,43.68358914,361,20.1099537,305,25.34184139,275,31.52302243,171
2023,Campbell,52.66946611,66,18.05288447,169,24.37059416,309,37.97240552,33
2023,Canisius,48.65097589,273,17.44138831,120,28.35394862,189,24.8564868,343
2023,Central Arkansas,47.10182768,323,18.10704257,176,27.94612795,203,24.33420366,347
2023,Central Connecticut,48.05229456,295,17.87415186,154,28.47100176,187,23.31910352,356
2023,Central Michigan,46.51015228,330,22.90143134,356,30.45586809,118,36.86548223,44
2023,Charleston,51.09864423,148,16.66718236,72,34.63302752,18,32.7255727,128
2023,Charleston Southern,50.26564345,194,18.06161131,171,32.2265625,60,27.4498229,305
2023,Charlotte,55.07749866,16,16.95554717,89,22.2972973,340,24.85301978,344
2023,Chattanooga,53.9445049,32,17.49000329,128,27.38853503,218,31.99129489,157
2023,Chicago St.,48.75588433,268,21.32764596,339,33.47685684,32,31.94351042,160
2023,Cincinnati,51.28552097,134,15.1670716,21,30.76923077,104,25.71041949,337
2023,Clemson,54.08216329,30,16.13301153,49,23.39832869,327,30.47321893,212
2023,Cleveland St.,49.37059416,234,17.2428234,103,34.88964346,15,29.70795569,231
2023,Coastal Carolina,47.45356501,313,17.75132617,145,30.28798411,123,28.8795686,265
2023,Colgate,58.20591233,1,15.03287087,17,25.16619183,284,27.37003058,308
2023,Colorado,48.98008742,259,19.02013443,243,30.84260731,99,29.91743565,225
2023,Colorado St.,54.83497394,19,16.69873477,73,19.6483971,355,29.82049797,228
2023,Columbia,45.50314465,346,19.89739593,295,25.26829268,283,28.05031447,290
2023,Connecticut,53.94342049,33,18.86624377,236,38.43821077,2,30.81868838,201
2023,Coppin St.,51.00558659,155,20.08199094,303,18.62567812,363,37.15083799,38
2023,Cornell,54.78855721,21,16.62053539,69,28.81906826,173,28.48258706,271
2023,Creighton,54.22828096,27,16.62420197,70,25.2892562,280,28.37338262,276
2023,Dartmouth,50.03357958,207,20.19778122,310,23.45814978,325,29.14707858,254
2023,Davidson,50.05803831,206,16.1663097,52,24.8549323,293,32.79164248,127
2023,Dayton,52.99887892,55,18.88114298,237,30.80614203,102,35.53811659,63
2023,DePaul,49.69403366,215,18.24883808,193,25.8037225,262,27.58796532,300
2023,Delaware,49.61067853,219,16.53675154,67,24.97712717,288,33.03670745,118
2023,Delaware St.,45.88607595,340,23.48316483,360,30.67729084,109,28.86075949,267
2023,Denver,52.32486051,80,21.37477585,340,29.80349345,142,39.42963422,21
2023,Detroit Mercy,51.39877925,128,17.59979886,137,35.78138343,11,27.21261445,314
2023,Drake,52.86591607,57,15.53272389,31,23.76681614,321,28.40327533,275
2023,Drexel,49.41792782,231,17.92955715,160,29.417383,152,30.09313155,217
2023,Duke,51.08590734,149,18.25606026,194,35.91022444,9,29.92277992,224
2023,Duquesne,51.07212476,151,17.26219416,104,33.44208809,34,26.41325536,327
2023,East Carolina,47.12552743,321,19.21749455,255,32.95175797,46,37.13080169,39
2023,East Tennessee St.,50.50837321,184,19.45547185,266,29.87141444,137,31.22009569,187
2023,Eastern Illinois,48.04570054,296,19.20750616,254,25.31160115,279,32.35117258,137
2023,Eastern Kentucky,48.62488729,275,16.74991898,76,33.38289963,35,24.34625789,346
2023,Eastern Michigan,49.20409323,244,16.85042891,82,25.1198466,285,32.17737351,148
2023,Eastern Washington,56.18131868,6,19.86349366,293,28.00788955,200,31.48351648,175
2023,Elon,47.80517138,302,18.35069379,206,24.87804878,292,27.5405893,302
2023,Evansville,45.05165851,352,17.55525202,134,20.72368421,351,29.36378467,245
2023,FIU,52.15641173,86,20.6228663,321,25.44554455,271,28.6946521,268
2023,Fairfield,46.03223807,337,18.20076769,186,28.59941234,183,37.87972722,34
2023,Fairleigh Dickinson,51.25581395,137,16.36901725,61,30.94669849,97,27.90697674,292
2023,Florida,49.3697479,235,16.06773568,48,23.78100941,320,34.50630252,83
2023,Florida A&M,44.97505346,353,24.17273433,363,27.79623477,209,31.3613685,182
2023,Florida Atlantic,54.29740791,24,16.87182916,85,31.35261923,90,29.60436562,235
2023,Florida Gulf Coast,51.21813031,140,17.12710847,98,26.64165103,237,28.21529745,284
2023,Florida St.,49.26630435,239,17.56858483,136,25.93283582,256,30.38043478,214
2023,Fordham,48.55339295,279,19.16239702,251,29.86577181,138,37.61178327,35
2023,Fresno St.,49.32140654,237,18.06729545,173,24.92179353,291,24.30598396,349
2023,Furman,54.9533195,18,15.74243625,35,28.96613191,165,34.75103734,75
2023,Gardner Webb,50.75614367,171,19.58502636,276,28.55680655,185,34.7826087,73
2023,George Mason,51.86020293,99,20.16189602,307,27.8597786,205,37.03494927,40
2023,George Washington,53.02013423,53,17.64588841,139,26.52259332,240,34.50782998,82
2023,Georgetown,47.07859359,324,17.45441592,123,28.87029289,170,29.1106515,256
2023,Georgia,47.12351946,322,19.30305917,261,30.53839365,112,40.4963339,15
2023,Georgia Southern,48.18548387,294,16.27282957,56,25.79737336,263,27.88018433,295
2023,Georgia St.,45.56962025,344,19.48580582,269,30.13555787,128,33.5443038,107
2023,Georgia Tech,48.48323576,285,15.59565754,33,27.51322751,214,23.52315061,355
2023,Gonzaga,57.55656109,2,14.84660442,14,31.21869783,92,34.11764706,95
2023,Grambling St.,50,208,21.15998666,334,31.48148148,89,41.45015106,11
2023,Grand Canyon,52.79468733,61,18.13263476,178,30.15726179,127,36.85666851,45
2023,Green Bay,45.94594595,338,21.01823226,329,21.6989843,344,31.47147147,176
2023,Hampton,45.12064343,351,15.97276321,43,26.4633141,243,32.06434316,154
2023,Hartford,47.65275708,305,22.67265225,354,25.33013205,276,24.14307004,351
2023,Harvard,49.49083503,227,19.8019802,288,30.2690583,124,31.16089613,189
2023,Hawaii,48.56486797,277,18.56932847,218,29.64015152,149,33.63949483,104
2023,High Point,50.14810427,201,19.5116076,270,30.67542214,110,38.68483412,30
2023,Hofstra,55.10712506,15,15.93057894,41,23.60984503,324,20.87693074,363
2023,Holy Cross,48.52601156,282,17.50030131,129,21.54131848,345,25.54913295,338
2023,Houston,52.29232864,81,15.42204832,28,37.11824589,4,28.8697231,266
2023,Houston Christian,51.40329469,127,21.15200341,333,27.98029557,201,40.63453325,14
2023,Howard,51.83189655,103,22.91111014,358,33.72727273,29,32.16594828,150
2023,IUPUI,49.65774736,217,23.27557226,359,28.9748954,163,32.23397635,143
2023,Idaho,51.98487713,92,17.21913458,102,19.61206897,356,35.79080025,60
2023,Idaho St.,50.77658303,170,17.21813347,101,24.57200403,301,28.91278375,263
2023,Illinois,51.36176773,129,18.35910144,207,31.57894737,83,34.27543679,91
2023,Illinois Chicago,48.69565217,272,18.42825976,211,22.72727273,335,34.14492754,94
2023,Illinois St.,50.20600353,197,21.81801156,346,28.16901408,193,31.25367863,184
2023,Incarnate Word,48.53316327,280,20.02863067,301,26.30480167,247,33.29081633,110
2023,Indiana,53.54870289,40,16.78493521,78,28.13321648,197,29.46647088,239
2023,Indiana St.,56.40259093,4,17.11217088,94,21.75502742,343,31.48978575,174
2023,Iona,51.66198502,111,15.18097208,22,31.57467532,84,28.97940075,260
2023,Iowa,51.68512277,109,13.98473512,8,32.14862682,65,32.30621088,138
2023,Iowa St.,49.92029756,211,19.54647151,273,33.89830508,28,27.89585547,294
2023,Jackson St.,47.45540399,311,21.95496005,347,32.9004329,47,32.94858342,122
2023,Jacksonville,50.5988024,179,19.0692751,245,23.88818297,318,22.82934132,359
2023,Jacksonville St.,50.52493438,183,20.23776685,312,29.39936776,153,31.75853018,164
2023,James Madison,51.538892,116,18.62939266,222,31.25,91,38.89199776,27
2023,Kansas,52.63772176,67,17.45909254,124,28.72253865,179,29.83193277,227
2023,Kansas St.,52.32837254,79,19.29316507,259,29.88215488,136,36.0537686,55
2023,Kennesaw St.,52.68935236,65,17.84797983,151,27.3308958,222,35.8946213,56
2023,Kent St.,50.80160321,168,16.2716005,55,31.19188504,94,31.51302605,172
2023,Kentucky,50.63569682,178,17.48538331,127,39.20265781,1,31.93154034,162
2023,LIU,45.55483452,345,22.71764222,355,24.66734903,300,31.66774822,165
2023,LSU,47.33333333,318,18.41285718,210,31.72995781,75,33.70666667,102
2023,La Salle,48.45360825,287,18.14579316,181,30.52464229,115,28.32596956,277
2023,Lafayette,48.69750133,271,17.94870342,162,23.76569038,322,24.45507709,345
2023,Lamar,47.57807521,308,21.2186267,336,32.07354443,69,32.1861058,146
2023,Lehigh,49.80620155,214,17.48470411,126,18.98597627,362,31.07235142,193
2023,Liberty,55.40832883,11,15.94474959,42,25.28301887,281,26.17631152,328
2023,Lindenwood,48.79372738,267,19.51243367,271,23.00194932,331,28.28709288,278
2023,Lipscomb,53.69334079,37,17.29161238,112,24.97472194,289,23.6149972,354
2023,Little Rock,49.16294643,248,18.00499486,165,29.29577465,155,31.86383929,163
2023,Long Beach St.,48.4607491,286,18.71894913,230,34.5721694,19,34.37660339,87
2023,Longwood,50.23391813,196,17.7933275,148,32.09169054,68,33.56725146,106
2023,Louisiana,52.80898876,60,17.65322189,141,33.33333333,37,37.02247191,41
2023,Louisiana Monroe,45.23375835,349,18.66786332,225,27.28989613,224,29.99392835,222
2023,Louisiana Tech,50.89959373,161,19.85039404,291,30.12757605,129,28.43876959,274
2023,Louisville,48,297,22.28022746,352,28.21497121,192,32.88235294,123
2023,Loyola Chicago,52.93040293,56,22.06489886,350,24.52631579,302,31.07448107,192
2023,Loyola MD,51.3321492,132,20.40865675,316,26.6214908,238,28.24156306,281
2023,Loyola Marymount,53.10541311,50,18.28096846,197,30.12757605,129,31.62393162,168
2023,Maine,50.98726115,156,18.70922306,229,22.86652079,332,22.92993631,358
2023,Manhattan,49.22791847,241,19.81380555,289,26.64640324,235,31.5009265,173
2023,Marist,47.91094008,300,18.06285135,172,25.85751979,261,28.91698736,262
2023,Marquette,55.97976081,7,15.25616323,26,26.24172185,248,27.04691812,317
2023,Marshall,52.62512267,69,15.51506603,30,31.68654174,77,26.15309127,330
2023,Maryland,50.83116883,166,16.4664463,66,30,132,34.28571429,90
2023,Maryland Eastern Shore,47.5832789,307,21.13351292,332,27.04135737,228,31.41737427,178
2023,Massachusetts,46.35974304,333,20.22403944,311,34.47098976,20,32.22698073,144
2023,McNeese St.,48.97798742,260,21.63923886,345,33.30564784,38,29.24528302,249
2023,Memphis,53.02958015,51,18.28056956,196,31.21783877,93,35.44847328,65
2023,Mercer,48.91055046,261,18.16218339,182,30.40152964,120,28.55504587,270
2023,Merrimack,48.32928311,290,20.74877008,322,20.51282051,353,34.56865128,79
2023,Miami FL,54.28571429,25,16.05696119,47,31.78807947,72,30.70294785,204
2023,Miami OH,51.97652872,94,19.67327423,285,26.65952891,234,32.0568252,155
2023,Michigan,51.57973922,115,15.19184505,23,25.61912895,266,30.84252758,199
2023,Michigan St.,51.69753086,108,16.38963024,62,27.60791367,213,27.16049383,316
2023,Middle Tennessee,51.15950226,145,19.31985964,262,31.86180422,71,29.41176471,241
2023,Milwaukee,51.42473118,126,21.43138888,343,32.57506824,56,31.93548387,161
2023,Minnesota,49.03846154,253,19.62235529,282,25,286,30.76923077,202
2023,Mississippi,47.46508019,310,18.21600924,189,33.30529857,39,29.17744439,252
2023,Mississippi St.,46.74586777,328,19.38203031,264,35.54119548,14,33.83264463,99
2023,Mississippi Valley St.,45.44913742,347,23.49866485,361,28.62318841,181,38.01308745,32
2023,Missouri,54.99521989,17,15.8143637,38,26.33814783,246,29.06309751,258
2023,Missouri St.,50.14551804,202,19.13292818,249,33.23890463,42,27.24097788,312
2023,Monmouth,43.80387931,360,21.09169459,331,30.26533997,125,33.13577586,115
