TeamName,WonConf
Abilene Christian,0
Air Force,0
Akron,0
Alabama,1
Alabama A&M,0
Alabama St.,0
Albany,0
Alcorn St.,0
American,0
Appalachian St.,0
Arizona,1
Arizona St.,0
Arkansas,0
Arkansas Pine Bluff,0
Arkansas St.,0
Army,0
Auburn,0
Austin Peay,0
Ball St.,0
Baylor,0
Bellarmine,0
Belmont,0
Bethune Cookman,0
Binghamton,0
Boise St.,0
Boston College,0
Boston University,0
Bowling Green,0
Bradley,0
Brown,0
Bryant,0
Bucknell,0
Buffalo,0
Butler,0
BYU,0
Cal Baptist,0
Cal Poly,0
Cal St. Bakersfield,0
Cal St. Fullerton,0
Cal St. Northridge,0
California,0
Campbell,0
Canisius,0
Central Arkansas,0
Central Connecticut,0
Central Michigan,0
Charleston,1
Charleston Southern,0
Charlotte,0
Chattanooga,0
Chicago St.,0
Cincinnati,0
Clemson,0
Cleveland St.,0
Coastal Carolina,0
Colgate,1
Colorado,0
Colorado St.,0
Columbia,0
Connecticut,0
Coppin St.,0
Cornell,0
Creighton,0
Dartmouth,0
Davidson,0
Dayton,0
Delaware,0
Delaware St.,0
Denver,0
DePaul,0
Detroit Mercy,0
Drake,1
Drexel,0
Duke,1
Duquesne,0
East Carolina,0
East Tennessee St.,0
Eastern Illinois,0
Eastern Kentucky,0
Eastern Michigan,0
Eastern Washington,0
Elon,0
Evansville,0
Fairfield,0
Fairleigh Dickinson,0
FIU,0
Florida,0
Florida A&M,0
Florida Atlantic,1
Florida Gulf Coast,0
Florida St.,0
Fordham,0
Fresno St.,0
Furman,1
Gardner Webb,0
George Mason,0
George Washington,0
Georgetown,0
Georgia,0
Georgia Southern,0
Georgia St.,0
Georgia Tech,0
Gonzaga,1
Grambling St.,0
Grand Canyon,1
Green Bay,0
Hampton,0
Hartford,0
Harvard,0
Hawaii,0
High Point,0
Hofstra,0
Holy Cross,0
Houston,0
Houston Christian,0
Howard,1
Idaho,0
Idaho St.,0
Illinois,0
Illinois Chicago,0
Illinois St.,0
Incarnate Word,0
Indiana,0
Indiana St.,0
Iona,1
Iowa,0
Iowa St.,0
IUPUI,0
Jackson St.,0
Jacksonville,0
Jacksonville St.,0
James Madison,0
Kansas,0
Kansas St.,0
Kennesaw St.,1
Kent St.,1
Kentucky,0
La Salle,0
Lafayette,0
Lamar,0
Lehigh,0
Liberty,0
Lindenwood,0
Lipscomb,0
Little Rock,0
LIU,0
Long Beach St.,0
Longwood,0
Louisiana,1
Louisiana Monroe,0
Louisiana Tech,0
Louisville,0
Loyola Chicago,0
Loyola Marymount,0
Loyola MD,0
LSU,0
Maine,0
Manhattan,0
Marist,0
Marquette,1
Marshall,0
Maryland,0
Maryland Eastern Shore,0
Massachusetts,0
McNeese St.,0
Memphis,1
Mercer,0
Merrimack,1
Miami FL,0
Miami OH,0
Michigan,0
Michigan St.,0
Middle Tennessee,0
Milwaukee,0
Minnesota,0
Mississippi,0
Mississippi St.,0
Mississippi Valley St.,0
Missouri,0
Missouri St.,0
Monmouth,0
Montana,0
Montana St.,1
Morehead St.,0
Morgan St.,0
Mount St. Mary's,0
Murray St.,0
N.C. State,0
Navy,0
Nebraska,0
Nebraska Omaha,0
Nevada,0
New Hampshire,0
New Mexico,0
New Mexico St.,0
New Orleans,0
Niagara,0
Nicholls St.,0
NJIT,0
Norfolk St.,0
North Alabama,0
North Carolina,0
North Carolina A&T,0
North Carolina Central,0
North Dakota,0
North Dakota St.,0
North Florida,0
North Texas,0
Northeastern,0
Northern Arizona,0
Northern Colorado,0
Northern Illinois,0
Northern Iowa,0
Northern Kentucky,1
Northwestern,0
Northwestern St.,0
Notre Dame,0
Oakland,0
Ohio,0
Ohio St.,0
Oklahoma,0
Oklahoma St.,0
Old Dominion,0
Oral Roberts,1
Oregon,0
Oregon St.,0
Pacific,0
Penn,0
Penn St.,0
Pepperdine,0
Pittsburgh,0
Portland,0
Portland St.,0
Prairie View A&M,0
Presbyterian,0
Princeton,1
Providence,0
Purdue,1
Purdue Fort Wayne,0
Queens,0
Quinnipiac,0
Radford,0
Rhode Island,0
Rice,0
Richmond,0
Rider,0
Robert Morris,0
Rutgers,0
Sacramento St.,0
Sacred Heart,0
Saint Joseph's,0
Saint Louis,0
Saint Mary's,0
Saint Peter's,0
Sam Houston St.,0
Samford,0
San Diego,0
San Diego St.,1
San Francisco,0
San Jose St.,0
Santa Clara,0
Seattle,0
Seton Hall,0
Siena,0
SIU Edwardsville,0
SMU,0
South Alabama,0
South Carolina,0
South Carolina St.,0
South Dakota,0
South Dakota St.,0
South Florida,0
Southeast Missouri St.,1
Southeastern Louisiana,0
Southern,0
Southern Illinois,0
Southern Indiana,0
Southern Miss,0
Southern Utah,0
St. Bonaventure,0
St. Francis NY,0
St. Francis PA,0
St. John's,0
St. Thomas,0
Stanford,0
Stephen F. Austin,0
Stetson,0
Stonehill,0
Stony Brook,0
Syracuse,0
Tarleton St.,0
TCU,0
Temple,0
Tennessee,0
Tennessee Martin,0
Tennessee St.,0
Tennessee Tech,0
Texas,1
Texas A&M,0
Texas A&M Commerce,0
Texas A&M Corpus Chris,1
Texas Southern,1
Texas St.,0
Texas Tech,0
The Citadel,0
Toledo,0
Towson,0
Troy,0
Tulane,0
Tulsa,0
UAB,0
UC Davis,0
UC Irvine,0
UC Riverside,0
UC San Diego,0
UC Santa Barbara,1
UCF,0
UCLA,0
UMass Lowell,0
UMBC,0
UMKC,0
UNC Asheville,1
UNC Greensboro,0
UNC Wilmington,0
UNLV,0
USC,0
USC Upstate,0
UT Arlington,0
UT Rio Grande Valley,0
Utah,0
Utah St.,0
Utah Tech,0
Utah Valley,0
UTEP,0
UTSA,0
Valparaiso,0
Vanderbilt,0
VCU,1
Vermont,1
Villanova,0
Virginia,0
Virginia Tech,0
VMI,0
Wagner,0
Wake Forest,0
Washington,0
Washington St.,0
Weber St.,0
West Virginia,0
Western Carolina,0
Western Illinois,0
Western Kentucky,0
Western Michigan,0
Wichita St.,0
William & Mary,0
Winthrop,0
Wisconsin,0
Wofford,0
Wright St.,0
Wyoming,0
Xavier,0
Yale,0
Youngstown St.,0